Trinity Washington University,37300.0
Barry University,48600.0
Bethune-Cookman University,29100.0
Lynn University,38600.0
Carlos Albizu University-Miami,29000.0
University of Central Florida,41800.0
Clearwater Christian College,33800.0
South University-West Palm Beach,32500.0
Embry-Riddle Aeronautical University-Daytona Beach,47300.0
Florida Agricultural and Mechanical University,39400.0
Florida Atlantic University,42300.0
Adventist University of Health Sciences,48800.0
Florida Institute of Technology,43400.0
Florida International University,41900.0
Florida Memorial University,28300.0
Florida Southern College,38200.0
Florida State University,41700.0
University of Florida,48100.0
Full Sail University,33400.0
AI Miami International University of Art and Design,29000.0
Jacksonville University,40200.0
Keiser University-Ft Lauderdale,32700.0
Trinity International University-Florida,34700.0
University of Miami,50300.0
University of North Florida,41200.0
Northwood University-Florida,43700.0
Nova Southeastern University,57400.0
Everest University-North Orlando,27500.0
Palm Beach Atlantic University,37800.0
Rollins College,39700.0
Saint Leo University,42900.0
Argosy University-Sarasota,51600.0
University of South Florida-Main Campus,40100.0
St Thomas University,45200.0
Stetson University,40300.0
Southeastern University,29800.0
The University of Tampa,38500.0
Trinity Baptist College,30900.0
Warner University,45100.0
Webber International University,36400.0
The University of West Florida,36500.0
Albany State University,28500.0
Armstrong Atlantic State University,34600.0
Clark Atlanta University,32500.0
Berry College,34800.0
Beulah Heights University,25300.0
Brenau University,39800.0
Clayton State University,38100.0
Columbus State University,32100.0
Covenant College,40800.0
South University-Savannah,32500.0
Emory University,55900.0
Fort Valley State University,26700.0
Georgia Institute of Technology-Main Campus,57200.0
Georgia Southwestern State University,33600.0
Georgia College and State University,36000.0
Georgia Southern University,35300.0
Georgia State University,39000.0
University of Georgia,43300.0
Kennesaw State University,39000.0
LaGrange College,34600.0
Life University,35800.0
Mercer University,50800.0
Oglethorpe University,45200.0
Piedmont College,36300.0
Reinhardt University,33600.0
Savannah College of Art and Design,32000.0
Savannah State University,28400.0
Shorter University,47300.0
Southern Polytechnic State University,47700.0
Thomas University,32100.0
Valdosta State University,34200.0
Wesleyan College,32200.0
University of West Georgia,33600.0
Chaminade University of Honolulu,34100.0
University of Hawaii at Hilo,31100.0
University of Hawaii at Manoa,40600.0
Hawaii Pacific University,40200.0
Boise State University,35300.0
Idaho State University,34900.0
University of Idaho,38400.0
The College of Idaho,33700.0
Northwest Nazarene University,34800.0
School of the Art Institute of Chicago,29600.0
Aurora University,41900.0
Bradley University,45200.0
Midwestern University-Downers Grove,94200.0
Chicago State University,32100.0
University of Chicago,59700.0
Columbia College-Chicago,30300.0
Concordia University-Chicago,40300.0
DePaul University,46700.0
Eastern Illinois University,37300.0
Elmhurst College,46500.0
Governors State University,41000.0
Greenville College,35600.0
Harrington College of Design,41500.0
Rosalind Franklin University of Medicine and Science,62300.0
University of Illinois at Chicago,45300.0
Benedictine University,44800.0
Illinois College of Optometry,82600.0
University of Illinois at Urbana-Champaign,50300.0
Illinois Institute of Technology,57000.0
Argosy University-Chicago,51600.0
Illinois State University,39900.0
Judson University,38900.0
Lake Forest College,42700.0
Lewis University,43200.0
Lincoln Christian University,28300.0
Loyola University Chicago,44600.0
McKendree University,41100.0
Millikin University,38600.0
National Louis University,50600.0
National University of Health Sciences,48600.0
North Central College,40700.0
North Park University,37000.0
Northern Illinois University,40800.0
Northwestern University,56600.0
Northeastern Illinois University,33400.0
Olivet Nazarene University,35500.0
Quincy University,32300.0
Robert Morris University Illinois,33800.0
Rockford University,35500.0
Roosevelt University,40900.0
Dominican University,41300.0
Rush University,65500.0
University of St Francis,44700.0
Saint Xavier University,42600.0
University of Illinois at Springfield,36600.0
Southern Illinois University-Carbondale,38700.0
Southern Illinois University-Edwardsville,37500.0
Trinity International University-Illinois,34700.0
Western Illinois University,38100.0
Wheaton College,38000.0
Anderson University,32500.0
Ball State University,35000.0
Bethel College-Indiana,33900.0
Butler University,54000.0
Calumet College of Saint Joseph,44200.0
Earlham College,27800.0
University of Evansville,38300.0
Goshen College,33600.0
Grace College and Theological Seminary,31100.0
Huntington University,30800.0
Indiana University-Purdue University-Fort Wayne,33600.0
Indiana University-Purdue University-Indianapolis,37800.0
University of Indianapolis,37600.0
Indiana Institute of Technology,40500.0
University of Southern Indiana,32700.0
Indiana State University,35000.0
Indiana University-Kokomo,32600.0
Indiana University-South Bend,34400.0
Indiana University-Bloomington,39900.0
Indiana University-Northwest,32200.0
Indiana University-Southeast,31200.0
Indiana University-East,29100.0
ITT Technical Institute-Indianapolis,36400.0
Manchester University,34100.0
Marian University,39800.0
Indiana Wesleyan University,47800.0
Martin University,25500.0
University of Notre Dame,60800.0
Oakland City University,34800.0
Purdue University-Calumet Campus,34100.0
Purdue University-North Central Campus,31800.0
Rose-Hulman Institute of Technology,62500.0
University of Saint Francis-Fort Wayne,40900.0
Saint Josephs College,36400.0
Saint Mary-of-the-Woods College,29800.0
Taylor University,32500.0
Trine University,40800.0
Valparaiso University,42800.0
Allen College,48600.0
Briar Cliff University,37600.0
Buena Vista University,35200.0
Clarke University,38400.0
Coe College,39000.0
Dordt College,34400.0
Drake University,52400.0
University of Dubuque,34700.0
Faith Baptist Bible College and Theological Seminary,30500.0
Graceland University-Lamoni,36500.0
Grand View University,36700.0
Kaplan University-Mason City Campus,34700.0
Kaplan University-Cedar Rapids Campus,34700.0
Iowa State University,42100.0
University of Iowa,44900.0
Loras College,37900.0
Maharishi University of Management,25700.0
Morningside College,35000.0
Mount Mercy University,39300.0
Ashford University,30500.0
University of Northern Iowa,37400.0
Des Moines University-Osteopathic Medical Center,88900.0
Palmer College of Chiropractic-Davenport,42200.0
Saint Ambrose University,39700.0
Simpson College,40200.0
Upper Iowa University,37200.0
William Penn University,42200.0
Baker University,50200.0
Benedictine College,34200.0
Emporia State University,33900.0
Fort Hays State University,35300.0
Barclay College,26400.0
Friends University,44900.0
University of Kansas,40600.0
Newman University,38300.0
Kansas State University,40600.0
Kansas Wesleyan University,34600.0
MidAmerica Nazarene University,41100.0
Ottawa University-Ottawa,44100.0
Ottawa University-Kansas City,44100.0
Pittsburg State University,35900.0
University of Saint Mary,35000.0
Southwestern College,40000.0
Tabor College,34500.0
Washburn University,36100.0
Wichita State University,36900.0
Asbury University,31700.0
Bellarmine University,39800.0
