,Unnamed: 0,0
142,PCIP16,228.3896207980488
141,NOTFIRSTGEN_RPY_5YR_RT,226.22462728817246
140,DEP_ENRL_ORIG_YR4_RT,214.2580420906544
57,PCIP40,179.64741681422782
58,PCIP25,161.96817745984958
59,LO_INC_ENRL_ORIG_YR6_RT,154.3651033096614
139,PCIP42,149.53107832718524
138,PCIP19,136.69678653108522
137,ENRL_ORIG_YR4_RT,135.50012682125185
136,LOAN_ENRL_ORIG_YR4_RT,133.24178500698264
60,PCIP41,131.28362999505282
61,PCIP46,117.11933396656168
135,UGDS_NRA,89.74897345519884
134,INC_PCT_H1,77.58068038924073
62,RPY_5YR_RT,63.741199511351965
63,PCIP11,61.60230141643297
64,NOPELL_ENRL_ORIG_YR4_RT,47.697031921631606
65,PCIP04,36.54984355441752
66,IND_INC_PCT_M2,35.36426440081801
133,UGDS_NHPI,34.191127357747234
67,fsend_4,17.82429998108579
132,IND_ENRL_ORIG_YR3_RT,13.681958094652591
68,DEP_ENRL_ORIG_YR2_RT,13.25024247969785
69,DEP_RPY_5YR_RT,0.4447716227069756
117,FIRSTGEN_ENRL_ORIG_YR8_RT,0.0
131,UGDS_2MOR,0.0
98,IND_ENRL_ORIG_YR8_RT,0.0
96,FEMALE_ENRL_ORIG_YR8_RT,0.0
95,MALE_ENRL_ORIG_YR8_RT,0.0
94,MD_INC_ENRL_ORIG_YR8_RT,0.0
93,NOT1STGEN_ENRL_ORIG_YR3_RT,0.0
92,PCIP45,0.0
91,PCIP47,0.0
90,FEMALE_ENRL_ORIG_YR3_RT,0.0
89,DEP_ENRL_ORIG_YR3_RT,0.0
88,HI_INC_ENRL_ORIG_YR3_RT,0.0
87,MD_INC_ENRL_ORIG_YR3_RT,0.0
86,FEMALE_ENRL_ORIG_YR2_RT,0.0
85,LO_INC_ENRL_ORIG_YR2_RT,0.0
84,MD_INC_ENRL_ORIG_YR4_RT,0.0
83,FEMALE_RPY_5YR_RT,0.0
82,PELL_RPY_5YR_RT,0.0
81,MALE_ENRL_ORIG_YR4_RT,0.0
80,PELL_ENRL_ORIG_YR4_RT,0.0
79,NOLOAN_ENRL_ORIG_YR4_RT,0.0
78,FIRSTGEN_ENRL_ORIG_YR4_RT,0.0
77,NOT1STGEN_ENRL_ORIG_YR4_RT,0.0
